,id,Total Users,Engagement Level,DAU/MAU,Active,Notification Level,Time Per User Level,Active User Level,Login Ratio Level,Login Level,state,join_date,staffed_beds,number_discharges,est_ED_visits,average_LOS,LWBS_rate,region,geographic_classification,hospital_type,firm_type
1595,00185eb4-f642-4887-b886-06833feb9a44,13,Orange,0.0,Inactive,medium,very low,very low,very low,very low,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1596,00185eb4-f642-4887-b886-06833feb9a44,13,Red,0.032,Active,medium,very low,very low,very low,high,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1597,00185eb4-f642-4887-b886-06833feb9a44,11,Red,0.0,Inactive,medium,very low,very low,very low,very low,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1598,00185eb4-f642-4887-b886-06833feb9a44,10,Red,0.0,Inactive,medium,very low,very low,very low,very low,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1599,00185eb4-f642-4887-b886-06833feb9a44,4,Red,0.0,Inactive,medium,very low,very low,very low,very low,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1600,00185eb4-f642-4887-b886-06833feb9a44,4,Red,0.0,Inactive,medium,very low,very low,very low,very low,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1601,00185eb4-f642-4887-b886-06833feb9a44,4,Red,0.0,Inactive,medium,very low,very low,very low,very low,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1602,00185eb4-f642-4887-b886-06833feb9a44,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1603,00185eb4-f642-4887-b886-06833feb9a44,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1604,00185eb4-f642-4887-b886-06833feb9a44,4,Orange,0.065,Active,medium,medium,low,very low,very low,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1605,00185eb4-f642-4887-b886-06833feb9a44,4,Orange,0.167,Active,medium,very low,low,medium,very low,CA,5/28/2016,48.0,2639.0,30957.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
